Restaurant ID,Restaurant Name,City,Address,Locality,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Rating color,Rating text,Votes
18287358,Food Cloud,New Delhi,"Aaya Nagar, New Delhi",Aaya Nagar,Cuisine Varies,500,No,No,0,White,Not rated,2
18216944,Burger.in,New Delhi,"84, Near Honda Showroom, Adchini, New Delhi",Adchini,Fast Food,350,No,Yes,3.2,Orange,Average,46
313333,Days of the Raj,New Delhi,"81/3, 1st Floor, Qutub Residency, Adchini, New Delhi",Adchini,"North Indian, Seafood, Continental",1500,Yes,Yes,3.4,Orange,Average,45
18384127,Dilli Ka Dhaba,New Delhi,"66 A, Ground Floor, Sri Aurobindo Marg, Adchini, New Delhi",Adchini,"South Indian, North Indian",500,No,No,2.6,Orange,Average,11
582,Govardhan,New Delhi,"84, Adjacent Hero Motor Bike Showroom, Main Mehrauli Road, Adchini, New Delhi",Adchini,"South Indian, North Indian, Chinese",500,No,Yes,3.4,Orange,Average,238
18414465,Mezbaan Grills,New Delhi,"A- 96, Shri Aurbindo Marg, Adchini, New Delhi",Adchini,Mughlai,400,No,No,3.1,Orange,Average,8
304243,Say Cheese,New Delhi,"88/3, Adchini, New Delhi",Adchini,Fast Food,400,No,Yes,2.7,Orange,Average,64
3554,Southy,New Delhi,"88/4, Adchini, New Delhi",Adchini,South Indian,450,No,Yes,2.6,Orange,Average,113
18369872,Monosoz,New Delhi,"Sri Aurobindo Marg, Adchini, New Delhi",Adchini,Pizza,300,No,Yes,3.7,Yellow,Good,66
948,Waves,New Delhi,"A-4, Sarvodaya Enclave, Adchini, New Delhi",Adchini,"North Indian, Chinese",1500,Yes,Yes,3.5,Yellow,Good,141
2853,Delhi Darbar,New Delhi,"84, Main Road, Adchini, New Delhi",Adchini,"Chinese, North Indian",500,No,No,2.2,Red,Poor,77
18433900,Chateau,New Delhi,"84, Aurobindo Marg, Adchini, New Delhi",Adchini,"Mediterranean, Italian",1600,Yes,No,4,Green,Very Good,40
18425159,Nariyal Cafe,New Delhi,"A-4, 3rd Foor, Adchini, New Delhi",Adchini,"Continental, Seafood, Goan, Andhra, Kerala, Thai",1200,Yes,No,4.2,Green,Very Good,46
310958,Rustom's Parsi Bhonu,New Delhi,"94-A/B, Adchini, New Delhi",Adchini,Parsi,1500,Yes,Yes,4.2,Green,Very Good,665
18334443,BarShala,New Delhi,"Aditya Mall, Next to Cross River Mall, CBD, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma",Finger Food,600,No,No,3.2,Orange,Average,31
18255141,Chawla'sŒ_,New Delhi,"Shop SG 40, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Mughlai",800,Yes,Yes,3.4,Orange,Average,32
197,Domino's Pizza,New Delhi,"15/16/16-A, Plot 9-D, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","Pizza, Fast Food",700,No,No,2.8,Orange,Average,83
308235,Sultanat,New Delhi,"31-BC, Ground Floor, Aditya Mega Mall, Karkardooma, New Delhi","Aditya Mega Mall, Karkardooma","North Indian, Chinese, Continental",1000,Yes,Yes,3.7,Yellow,Good,288
